taxon6,taxon6_2,count,regulation
Pyronema,Oidiodendron,22,0
Sclerotinia,Sclerotinia,52,0
Tuber,Sclerotinia,34,0
Pyronema,Sclerotinia,32,0
Botrytis,Sclerotinia,21,0
Botrytis,Botrytis,80,0
Tuber,Botrytis,72,0
Pyronema,Botrytis,62,0
Sclerotinia,Botrytis,36,0
Marssonina,Botrytis,24,0
Pyronema,Glarea,88,0
Glarea,Glarea,40,0
Tuber,Glarea,33,0
Pyronema,Marssonina,58,0
Marssonina,Marssonina,40,0
Tuber,Marssonina,31,0
